SelfReportMinsSmartphone,SelfReportCheckSmartphone,SelfReportSocialMediaMins,SelfReportMessagingMins,SelfReportGamingMins,SelfReportEmailMins,SelfReportOtherAppsMins,SelfReportTotalAppMins,EmotionOwnSmartphoneUsage
300,60,60,60,120,0,15,255,2
390,69,300,75,60,0,0,435,1
180,70,0,45,120,15,0,180,2
315,100,240,60,0,0,0,300,1
300,100,120,60,60,0,60,300,1
360,50,120,120,120,0,0,360,2
240,80,0,0,60,0,120,180,2
135,50,30,30,30,0,60,150,1
240,15,240,0,0,0,0,240,2
300,50,120,0,180,0,0,300,1
180,100,0,90,0,0,90,180,2
240,50,120,45,0,75,0,240,2
600,50,240,60,0,0,180,480,1
165,100,60,15,0,30,60,165,#NULL!
420,50,180,60,120,0,60,420,1
360,100,120,60,240,0,0,420,1
330,40,90,120,120,15,0,345,2
150,50,120,45,15,45,0,225,3
150,50,60,30,30,0,30,150,3
135,40,30,30,30,15,15,120,2
360,30,240,60,45,0,15,360,2
195,80,60,60,0,30,0,150,2
90,50,0,30,0,15,60,105,2
360,50,60,60,60,0,180,360,1
120,30,0,15,0,15,120,150,3
240,100,0,15,75,60,90,240,2
180,15,0,0,180,0,60,240,3
240,20,120,60,0,60,0,240,2
150,15,60,60,30,0,0,150,3
165,20,45,120,300,0,30,495,3
360,30,30,15,360,15,30,450,2
360,50,180,30,120,0,30,360,1
240,20,180,60,0,30,0,270,1
150,40,30,60,60,0,0,150,2
240,80,210,30,0,15,15,270,2
600,100,135,240,45,60,540,1020,2
180,30,120,60,0,60,0,240,3
300,20,0,15,0,0,300,315,1
300,150,150,60,0,0,120,330,1
300,50,60,60,120,60,0,300,1
240,30,180,15,0,0,0,195,2
465,30,120,180,15,15,15,345,1
525,100,615,180,0,15,45,855,1
240,20,180,60,0,0,60,300,1
720,100,0,45,0,0,660,705,1
900,80,480,255,120,0,0,855,2
330,130,180,120,0,0,30,330,1
780,60,300,300,60,0,180,840,2
240,40,120,60,0,0,0,180,2
